,X,...1,name,address,city,state,zip,Zip.Plus,Contact.First.Name,Contact.Last.Name,Contact.Title,Phone,Business.Description,Primary.NAICS,NAICS2,NAICS3,NAICS4,NAICS5,Business.Type,County,Employee,Annual.Sales,URL,Year.Established,address_new,url,type,latitude,longitude
30,30,33,Asheville Dance Theater Inc,802 Fairview Rd # 1100,Asheville,NC,28803,1193,Cheryl,Whitworth,President,(828) 298-0258,Dancing Instruction,611610,458110,711120,NA,NA,Private,Buncombe,3,1.00E+05,ashevilledancetheater.com,1979,802 Fairview Rd # 1100 Asheville NC 28803,https://ashevilledancetheater.com,dancing lessons,35.56526581,-82.51020318
31,31,34,Asheville Event Ctr,291 Sweeten Creek Rd,Asheville,NC,28803,1527,Katherine H,Corn,President,(828) 274-8320,Dancing Instruction,611610,722320,519290,711310,NA,Private,Buncombe,3,75000,ashevilleballroom.net,2003,291 Sweeten Creek Rd Asheville NC 28803,https://ashevilleballroom.net,dancing lessons,35.5478365,-82.52142185
32,32,35,Atlantic Dance,1702 N Croatan Hwy,Kill Devil Hills,NC,27948,9259,Mila,Smith,Owner,(252) 441-9009,Dancing Instruction,611610,458110,NA,NA,NA,Private,Dare,2,62000,atlanticdance.com,1995,1702 N Croatan Hwy Kill Devil Hills NC 27948,https://atlanticdance.com,dancing lessons,36.03895106,-75.67604196
33,33,36,B B Dance Productions Asep Inc,5323 E Independence Blvd # B,Charlotte,NC,28212,510,Veronica,Badgett,Owner,(704) 563-8693,Dancing Instruction,611610,711120,NA,NA,NA,Private,Mecklenburg,8,217000,bbdance.com,1992,5323 E Independence Blvd # B Charlotte NC 28212,https://bbdance.com,dancing lessons,35.18679613,-80.75911529
34,34,38,Balance' Dance,425 Red Banks Rd,Greenville,NC,27858,NA,NA,NA,NA,(252) 751-0175,Dancing Instruction,611610,711120,NA,NA,NA,Private,Pitt,2,46000,balancedancewear.com,2020,425 Red Banks Rd Greenville NC 27858,https://balancedancewear.com,dancing lessons,35.58205496,-77.37447885
35,35,39,Ballet Arts Inc,401 S Garnett St,Henderson,NC,27536,4539,Alecia,Lakernick-Hoct,Owner,(252) 430-6443,Dancing Instruction,611610,713990,NA,NA,NA,Private,Vance,16,334000,balletartsnc.com,1992,401 S Garnett St Henderson NC 27536,https://balletartsnc.com,dancing lessons,36.32467694,-78.40630756
36,36,41,Ballet Conservatory-Asheville,6 E Chestnut St,Asheville,NC,28801,1803,Christopher,Lynn,Director,(828) 255-5777,Dancing Instruction,611610,NA,NA,NA,NA,Private,Buncombe,8,199000,balletconservatoryofasheville.com,2009,6 E Chestnut St Asheville NC 28801,https://balletconservatoryofasheville.com,dancing lessons,35.60346796,-82.55726016
37,37,42,Ballet Technologies Global LLC,200 Meredith Dr # 105,Durham,NC,27713,2287,Sara,Paisner,Manager,(919) 000-1111,Dancing Instruction,611610,NA,NA,NA,NA,Private,Durham,3,134000,NA,2019,200 Meredith Dr # 105 Durham NC 27713,NA,dancing lessons,35.90027016,-78.89890018
38,38,43,Ballroom of Tomorrow,716 SW Broad St,Southern Pines,NC,28387,NA,NA,NA,NA,(910) 000-1111,Dancing Instruction,611610,813319,813410,NA,NA,Private,Moore,3,101000,NA,2014,716 SW Broad St Southern Pines NC 28387,NA,dancing lessons,35.16960729,-79.39896034
39,39,44,Barbie's Encore Dance Prdctns,121 N Main St,Mt Holly,NC,28120,1793,NA,NA,NA,(704) 827-1844,Dancing Instruction,611610,NA,NA,NA,NA,Private,Gaston,3,53000,NA,2012,121 N Main St Mt Holly NC 28120,NA,dancing lessons,35.29841701,-81.01613697
40,40,45,Barriskill Dance Theatre Sch,3642 Shannon Rd # 3,Durham,NC,27707,3769,Mari,O'Donnell,Owner,(919) 489-5100,Dancing Instruction,611610,711110,NA,NA,NA,Private,Durham,3,134000,barriskilldance.com,2006,3642 Shannon Rd # 3 Durham NC 27707,https://barriskilldance.com,dancing lessons,35.95871764,-78.95497159
41,41,46,Be Famous Dance Ctr LLC,1203 Concord Ave,Monroe,NC,28110,2907,Megan,Hildreth,CEO,(704) 000-1111,Dancing Instruction,611610,NA,NA,NA,NA,Private,Union,3,74000,befamousdancecenter.com,2015,1203 Concord Ave Monroe NC 28110,https://befamousdancecenter.com,dancing lessons,34.99290636,-80.5548335
42,42,47,Belly Dance By Gypsy,711 Coliseum Plaza Ct,Winston Salem,NC,27106,5350,Paula,Stump,Owner,(336) 777-1077,Dancing Instruction,611610,NA,NA,NA,NA,Private,Forsyth,2,61000,shimmies-r-us.com,2009,711 Coliseum Plaza Ct Winston Salem NC 27106,https://shimmies-r-us.com,dancing lessons,36.12198361,-80.26464854
43,43,48,Belmont School of Ballet,116 S Main St,Belmont,NC,28012,3830,Bridget P,Young,Manager,(704) 829-7929,Dancing Instruction,611610,711120,NA,NA,NA,Private,Gaston,4,105000,belmontballet.com,1968,116 S Main St Belmont NC 28012,https://belmontballet.com,dancing lessons,35.24073461,-81.03847525
44,44,49,Best of Ballroom Dance Studio,644 Hanes Mall Blvd,Winston Salem,NC,27103,5670,NA,NA,NA,(336) 930-5313,Dancing Instruction,611610,NA,NA,NA,NA,Private,Forsyth,3,91000,bestofballroomdancestudio.com,2017,644 Hanes Mall Blvd Winston Salem NC 27103,https://bestofballroomdancestudio.com,dancing lessons,36.06267455,-80.30250393
45,45,50,Betty's School of Dancing,236 E Front St,Statesville,NC,28677,5905,NA,NA,NA,(704) 873-4513,Dancing Instruction,611610,611511,NA,NA,NA,Private,Iredell,4,80000,dancenc.com,1945,236 E Front St Statesville NC 28677,https://dancenc.com,dancing lessons,35.78378776,-80.88411455
46,46,51,Black Box Dance Theater,114 Saint Marys St,Raleigh,NC,27605,1809,Ann,Huntley,Manager,(919) 000-1111,Dancing Instruction,611610,813319,999990,NA,NA,Private,Wake,3,104000,blackboxdancetheatre.org,2021,114 Saint Marys St Raleigh NC 27605,https://blackboxdancetheatre.org,dancing lessons,35.78205247,-78.65053413
47,47,52,Bobbi's School of Dance,13 Trade St,Thomasville,NC,27360,3930,NA,NA,NA,(336) 475-3126,Dancing Instruction,611610,458110,NA,NA,NA,Private,Davidson,2,77000,NA,1984,13 Trade St Thomasville NC 27360,NA,dancing lessons,35.88366789,-80.08394908
48,48,53,Bold-Taking Over Dance Team,3701 Hope Ct # 2B,Greensboro,NC,27407,5299,Tomvet,Madkins,Manager,(336) 000-1111,Dancing Instruction,611610,NA,NA,NA,NA,Private,Guilford,6,252000,NA,2018,3701 Hope Ct # 2B Greensboro NC 27407,NA,dancing lessons,36.04074246,-79.85185257
49,49,54,Bonita's School of Ballet,903 N Charlotte Ave # B,Monroe,NC,28110,2532,Marykay,Canupp,Office Manager,(704) 289-5733,Dancing Instruction,611610,NA,NA,NA,NA,Private,Union,4,99000,balletunion.com,1997,903 N Charlotte Ave # B Monroe NC 28110,https://balletunion.com,dancing lessons,34.98964763,-80.55446331
50,50,55,Boys Ballet Summer Intensive,201 Davis Grove Cir # 104,Cary,NC,27519,2513,Kimber,Neal-Frenette,Manager,(919) 000-1111,Dancing Instruction,611610,NA,NA,NA,NA,Private,Wake,3,70000,boysballetsummerintensive.com,2020,201 Davis Grove Cir # 104 Cary NC 27519,https://boysballetsummerintensive.com,dancing lessons,35.77684695,-78.84829115
51,51,56,Brand Performing Arts Ctr,5164 Lamm Rd,Wilson,NC,27893,9652,NA,NA,NA,(252) 206-0687,Dancing Instruction,611610,711110,NA,NA,NA,Private,Wilson,3,62000,brand-pac.com,2013,5164 Lamm Rd Wilson NC 27893,https://brand-pac.com,dancing lessons,35.75009191,-78.01029036
52,52,57,Break'n Out Dance Studio,3909 Battleground Ave,Greensboro,NC,27410,9499,Ashley,Callahan,President,(336) 288-8337,Dancing Instruction,611610,711120,713940,NA,NA,Private,Guilford,6,252000,breaknoutdance.com,2009,3909 Battleground Ave Greensboro NC 27410,https://breaknoutdance.com,dancing lessons,36.14371512,-79.86740504
53,53,58,Brier Creek Dance Salon LLC,6308 Angus Dr,Raleigh,NC,27617,4702,Thomas,Markeela,Manager,(919) 000-1111,Dancing Instruction,611610,NA,NA,NA,NA,Private,Wake,2,70000,NA,2017,6308 Angus Dr Raleigh NC 27617,NA,dancing lessons,35.89715772,-78.75761945
54,54,59,Broadway Dance Project,501 Washington St,Raleigh,NC,27605,1525,Catrina,Godwin,Owner,(919) 833-7776,Dancing Instruction,611610,NA,NA,NA,NA,Private,Wake,2,70000,NA,2008,501 Washington St Raleigh NC 27605,NA,dancing lessons,35.79294462,-78.64426853
55,55,60,Brunswick School of Dance,920 Ocean Hwy W,Supply,NC,28462,4060,Valerie,Taylor,Owner,(910) 754-8281,Dancing Instruction,611610,611620,NA,NA,NA,Private,Brunswick,2,59000,brunswickdance.com,1995,920 Ocean Hwy W Supply NC 28462,https://brunswickdance.com,dancing lessons,34.00757065,-78.30095408
56,56,61,Burlington Academy-Dance & Art,3382 S Church St,Burlington,NC,27215,9150,Patty,Brothers,Owner,(336) 584-6727,Dancing Instruction,611610,711120,NA,NA,NA,Private,Alamance,10,255000,badadance.com,1987,3382 S Church St Burlington NC 27215,https://badadance.com,dancing lessons,36.08029279,-79.51467145
57,57,62,Burnout Dance Fitness,2603 S Miami Blvd,Durham,NC,27703,5717,NA,NA,NA,(704) 905-1705,Dancing Instruction,611610,NA,NA,NA,NA,Private,Durham,2,90000,NA,2015,2603 S Miami Blvd Durham NC 27703,NA,dancing lessons,35.93236149,-78.84285301
58,58,63,C C & Co Dance Complex,8863 Six Forks Rd,Raleigh,NC,27615,2970,Christi,Curtis,Owner,(919) 846-5200,Dancing Instruction,611610,711120,NA,NA,NA,Private,Wake,12,416000,cccodance.com,1971,8863 Six Forks Rd Raleigh NC 27615,https://cccodance.com,dancing lessons,35.900405,-78.65204789
59,59,64,C C & Co Dance Complex,6520 Falls of Neuse Rd # 120,Raleigh,NC,27615,6849,NA,NA,NA,(919) 846-5200,Dancing Instruction,611610,NA,NA,NA,NA,Private,Wake,2,70000,cccodance.com,2022,6520 Falls of Neuse Rd # 120 Raleigh NC 27615,https://cccodance.com,dancing lessons,35.87125521,-78.62166607
60,60,65,C C Dance Co,1255 Knight Rd,Pine Hall,NC,27042,8114,Claudia,Cotter,Owner,(336) 548-6410,Dancing Instruction,611610,NA,NA,NA,NA,Private,Stokes,1,30000,NA,1999,1255 Knight Rd Pine Hall NC 27042,NA,dancing lessons,36.33601789,-80.04094918
61,61,66,CA Cheer & Dance Inc,307 S Edwardia Dr # B,Greensboro,NC,27409,2605,NA,NA,NA,(336) 253-5348,Dancing Instruction,611610,NA,NA,NA,NA,Private,Guilford,4,126000,cacheerndance.com,2018,307 S Edwardia Dr # B Greensboro NC 27409,https://cacheerndance.com,dancing lessons,36.06702075,-79.886153
62,62,67,Cabarrus Dance Academy,2810 Poplar Tent Rd # 100,Concord,NC,28027,5642,Tammy,Jordan,Exec Director,(704) 782-1915,Dancing Instruction,611610,458110,NA,NA,NA,Private,Cabarrus,2,50000,cabarrusdance.com,1946,2810 Poplar Tent Rd # 100 Concord NC 28027,https://cabarrusdance.com,dancing lessons,35.41202684,-80.62397128
63,63,68,Campaneria Ballet Co Inc,103 W Dutton Ct,Cary,NC,27513,5119,NA,NA,NA,(919) 000-1111,Dancing Instruction,611610,NA,NA,NA,NA,Private,Wake,2,70000,NA,2015,103 W Dutton Ct Cary NC 27513,NA,dancing lessons,35.77218495,-78.82182741
64,64,69,Campaneria Ballet School,2166 N Salem St # 101,Apex,NC,27523,6456,Kiley,O'Donnell,Educator,(919) 000-1111,Dancing Instruction,611610,NA,NA,NA,NA,Private,Wake,7,243000,campaneriaballetschool.com,2015,2166 N Salem St # 101 Apex NC 27523,https://campaneriaballetschool.com,dancing lessons,35.75714997,-78.83403043
65,65,70,Candy Brooks Dance Studio,527 Hoover St,Asheboro,NC,27203,5311,Candy,Brooks,Owner,(336) 625-3234,Dancing Instruction,611610,NA,NA,NA,NA,Private,Randolph,2,44000,NA,1849,527 Hoover St Asheboro NC 27203,NA,dancing lessons,35.70717208,-79.82095399
66,66,71,Cane Creek Cloggers Inc,6111 Morning Glory Ln,Efland,NC,27243,9779,NA,NA,NA,(919) 000-1111,Dancing Instruction,611610,NA,NA,NA,NA,Private,Orange,2,86000,canecreekcloggers.com,2021,6111 Morning Glory Ln Efland NC 27243,https://canecreekcloggers.com,dancing lessons,35.98988041,-79.21444063
67,67,72,Carolina Ballet,3030 Stony Brook Dr,Raleigh,NC,27604,3716,Lisl,Vaillant,Administrator,(828) 000-1111,Dancing Instruction,611610,NA,NA,NA,NA,Private,Wake,3,104000,NA,2024,3030 Stony Brook Dr Raleigh NC 27604,NA,dancing lessons,35.81688996,-78.59283303
68,68,73,Carolina Ballet,3401 Atlantic Ave # 131,Raleigh,NC,27604,1672,Michele,Weathers,Exec Director,(919) 719-0800,Dancing Instruction,611610,711120,813319,813410,999990,Private,Wake,7,243000,carolinaballet.com,1998,3401 Atlantic Ave # 131 Raleigh NC 27604,https://carolinaballet.com,dancing lessons,35.82922953,-78.60358834
69,69,74,Carolina Cheer Express,4361 Federal Dr,Greensboro,NC,27410,8146,Joanie,Hendricks,President,(336) 782-0581,Dancing Instruction,611610,711211,713940,611691,813410,Private,Guilford,8,336000,NA,2018,4361 Federal Dr Greensboro NC 27410,NA,dancing lessons,36.06389278,-79.94904369
70,70,75,Carolina Classic Competition,107 S Center St,Goldsboro,NC,27530,4828,Patti,Andersen Troy,Owner,(919) 736-3500,Dancing Instruction,611610,NA,NA,NA,NA,Private,Wayne,1,19000,NA,1997,107 S Center St Goldsboro NC 27530,NA,dancing lessons,35.38300454,-77.99731807
71,71,76,Carolina Dance Capital,12210 Copper Way # 230,Charlotte,NC,28277,3554,Nina,Schulte,Director,(704) 542-4998,Dancing Instruction,611610,711120,813410,NA,NA,Private,Mecklenburg,9,244000,carolinadancecapital.com,2010,12210 Copper Way # 230 Charlotte NC 28277,https://carolinadancecapital.com,dancing lessons,35.07014668,-80.84443301
72,72,77,Carolina Dance Co,117 W Roseboro St,Roseboro,NC,28382,NA,Courtney,Long,Owner,(910) 385-7106,Dancing Instruction,611610,NA,NA,NA,NA,Private,Sampson,2,49000,thecarolinadancecompany.com,2011,117 W Roseboro St Roseboro NC 28382,https://thecarolinadancecompany.com,dancing lessons,34.95260797,-78.5107536
73,73,78,Carolina Dance Ctr,8201 Rowlock Way # 116,Raleigh,NC,27613,1147,Missy,Blackburn,Owner,(919) 848-1830,Dancing Instruction,611610,711120,NA,NA,NA,Private,Wake,8,278000,carolinadancecenter.com,2005,8201 Rowlock Way # 116 Raleigh NC 27613,https://carolinadancecenter.com,dancing lessons,35.88598443,-78.73770806
74,74,80,Carolina Dance Foundation,9101 Leesville Rd # 169,Raleigh,NC,27613,4092,Allison,Mclain,Director,(828) 000-1111,Dancing Instruction,611610,813319,813410,NA,NA,Private,Wake,2,104000,NA,2023,9101 Leesville Rd # 169 Raleigh NC 27613,NA,dancing lessons,35.89661754,-78.72316856
75,75,81,Carolina Dance Productions,25 Plantation Dr,Clayton,NC,27527,4578,Lori,Dew,Owner,(919) 553-9907,Dancing Instruction,611610,711120,NA,NA,NA,Private,Johnston,8,176000,carolinadanceproductions.com,2003,25 Plantation Dr Clayton NC 27527,https://carolinadanceproductions.com,dancing lessons,35.65064852,-78.39533231
76,76,82,Carolina Danceworks LLC,716 SW Broad St,Southern Pines,NC,28387,NA,NA,NA,NA,(910) 000-1111,Dancing Instruction,611610,NA,NA,NA,NA,Private,Moore,3,101000,carolinadanceworks.com,2016,716 SW Broad St Southern Pines NC 28387,https://carolinadanceworks.com,dancing lessons,35.16960729,-79.39896034
77,77,83,Carolina Strut Performing Arts,2900 Arendell St,Morehead City,NC,28557,3318,Melanie,Galizia,Owner,(252) 726-0431,Dancing Instruction,611610,NA,NA,NA,NA,Private,Carteret,6,186000,NA,1984,2900 Arendell St Morehead City NC 28557,NA,dancing lessons,34.72382845,-76.74254796
78,78,84,Carolina Youth Dance Academy,341 Riggans Way,Franklinton,NC,27525,8803,Debbie,Ramsey,Owner,(919) 000-1111,Dancing Instruction,611610,NA,NA,NA,NA,Private,Franklin,2,47000,NA,2016,341 Riggans Way Franklinton NC 27525,NA,dancing lessons,36.12171501,-78.47464862
79,79,85,Carolinas Latin Dance Co,6325 Woodland Commons Dr,Charlotte,NC,28269,4433,NA,NA,NA,(704) 992-2245,Dancing Instruction,611610,999990,NA,NA,NA,Private,Mecklenburg,4,82000,cldccharlotte.org,2011,6325 Woodland Commons Dr Charlotte NC 28269,https://cldccharlotte.org,dancing lessons,35.37802168,-80.78201059
80,80,86,Cary Ballet Co,12218 Bradford Green Sq,Cary,NC,27519,9228,NA,NA,NA,(828) 000-1111,Dancing Instruction,611610,813311,813319,999990,NA,Private,Wake,2,70000,caryballetcompany.org,2023,12218 Bradford Green Sq Cary NC 27519,https://caryballetcompany.org,dancing lessons,35.79422071,-78.84560317
81,81,87,Cary Ballet Conservatory,920 High House Rd,Cary,NC,27513,3574,Suzanne,Clark,Owner,(919) 481-6509,Dancing Instruction,611610,NA,NA,NA,NA,Private,Wake,15,520000,caryballet.com,1998,920 High House Rd Cary NC 27513,https://caryballet.com,dancing lessons,35.78783445,-78.82769321
82,82,88,Cary Cross Trailers Square,117 S Academy St,Cary,NC,27511,3301,Ken,Wertz,Owner,(919) 840-8250,Dancing Instruction,611610,NA,NA,NA,NA,Private,Wake,2,70000,carycrosstrailersnc.org,2016,117 S Academy St Cary NC 27511,https://carycrosstrailersnc.org,dancing lessons,35.78716385,-78.78114772
83,83,89,Cary Dance,5720 Six Forks Rd # 102,Raleigh,NC,27609,8618,Tondalaya,Smith,Owner,(919) 000-1111,Dancing Instruction,611610,NA,NA,NA,NA,Private,Wake,3,104000,NA,2015,5720 Six Forks Rd # 102 Raleigh NC 27609,NA,dancing lessons,35.85901696,-78.6394026
84,84,90,Catenacci Dance Studio Inc,148 Wade Ave,Louisburg,NC,27549,2648,Barbara,Catenacci,Owner,(919) 496-7127,Dancing Instruction,611610,711120,NA,NA,NA,Private,Franklin,4,93000,wordpress.com,1993,148 Wade Ave Louisburg NC 27549,https://wordpress.com,dancing lessons,36.09803732,-78.29802531
